name,year,total_population,median_contract_rent,median_home_value,price_to_rent
"Tucson, Arizona",2014,526141,642,125100,16.238317757009348
"Tucson, Arizona",2015,527948,646,126500,16.318369453044372
"Tucson, Arizona",2016,531674,654,139400,17.7624872579001
"Tucson, Arizona",2017,530690,658,144000,18.237082066869306
"Tucson, Arizona",2018,535676,694,150400,18.059558117195003
"Tucson, Arizona",2019,545987,701,167800,19.947693770803614
"Fresno, California",2010,479911,730,208100,23.755707762557076
"Fresno, California",2011,496147,721,197000,22.76930189551549
"Fresno, California",2012,501365,736,172600,19.54257246376812
"Fresno, California",2013,505870,751,159000,17.643142476697733
"Fresno, California",2014,509965,745,172700,19.317673378076066
"Fresno, California",2015,515985,753,190000,21.027003098716246
"Fresno, California",2016,520072,770,203700,22.045454545454547
"Fresno, California",2017,522021,774,227500,24.493970714900946
"Fresno, California",2018,527422,796,234500,24.549832495812396
"Fresno, California",2019,530073,852,257200,25.156494522691702
"Sacramento, California",2010,466685,843,250300,24.74298141557928
"Sacramento, California",2011,467503,851,236100,23.119858989424205
"Sacramento, California",2012,472169,850,208500,20.44117647058824
"Sacramento, California",2013,475524,861,210200,20.344560588463036
"Sacramento, California",2014,479671,888,228200,21.415165165165167
"Sacramento, California",2015,485193,877,255300,24.25883694412771
"Sacramento, California",2016,490715,966,287300,24.78433402346446
"Sacramento, California",2017,495200,992,306900,25.78125
"Sacramento, California",2018,501890,1057,335900,26.48218227688427
"Sacramento, California",2019,508517,1151,358300,25.941210541558064
"Kansas City, Missouri",2010,482228,584,138300,19.73458904109589
"Kansas City, Missouri",2011,460665,579,138900,19.991364421416236
"Kansas City, Missouri",2012,463156,608,133800,18.338815789473685
"Kansas City, Missouri",2013,464346,602,131700,18.230897009966775
"Kansas City, Missouri",2014,467082,625,126900,16.92
"Kansas City, Missouri",2015,470816,633,132300,17.417061611374407
"Kansas City, Missouri",2016,475361,658,138400,17.527862208713273
"Kansas City, Missouri",2017,481360,689,146300,17.69472665699081
"Kansas City, Missouri",2018,488825,722,152900,17.647737765466296
"Kansas City, Missouri",2019,491809,741,166400,18.71345029239766
"Atlanta, Georgia",2010,540932,735,257200,29.160997732426306
"Atlanta, Georgia",2011,422338,742,228800,25.696316262354003
"Atlanta, Georgia",2012,432425,764,190300,20.75698080279232
