date,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Baltimore-Columbia-Towson, MD Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Cincinnati, OH-KY-IN Metro Area","Cleveland-Elyria, OH Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area","Denver-Aurora-Lakewood, CO Metro Area","Detroit-Warren-Dearborn, MI Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area","Kansas City, MO-KS Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Phoenix-Mesa-Scottsdale, AZ Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area","San Diego-Carlsbad, CA Metro Area","San Francisco-Oakland-Hayward, CA Metro Area","St. Louis, MO-IL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",All Cities Average
1989-01-01,17.573054962231467,,26.208116636307818,22.259409601782433,20.374249165982924,18.905624044341806,18.69300876322007,17.436904316639797,17.077031121612393,16.41649212766824,19.206832822565715,34.38344015559142,13.153355052314208,16.236089079264584,19.054765995903505,33.07651151271994,16.312608014222036,,14.943562584427243,15.749218592082295,,25.925815797739336,36.56987918917166,17.81736595559278,15.633675882835702,,20.591227789737154
1989-02-01,17.57985793672188,,26.331990246337636,22.2094632825563,20.417248822819886,18.844341632528703,18.81349776998116,17.48417228382715,17.050657328374385,16.277810040000503,19.271197421937032,34.13958597009078,13.106794503456458,16.40597003363747,19.211330047102322,33.00512335837593,16.440140841625336,,14.968020133665261,15.922348300009439,,26.571210549768765,36.59577853703935,17.84538068193805,15.627758518761958,,20.641803556388894
1989-03-01,17.58666091121229,,26.385438129110987,22.06096018482747,20.460248479656848,18.798639914745692,18.590954120290753,17.5314402510145,17.11674514747661,16.381600539724204,19.33556202130835,34.33439102555492,13.223819454380175,16.575850988010355,19.367894098301143,32.910417122053474,16.085728904149406,,14.870667157186134,16.095478007936585,,27.216605301798193,36.135132373636054,17.88756834312467,15.621841154688212,,20.662438346826676
1989-04-01,17.58666091121229,,26.444434894807802,22.50176098137872,20.460248479656848,18.985860156096383,18.648394741374116,17.5314402510145,17.5450747018082,16.705190387586764,19.33556202130835,36.191094134884594,12.836182412259829,16.575850988010355,19.367894098301143,32.67350443413658,16.228397541921893,,15.35009838561607,16.095478007936585,,27.216605301798193,37.5284693733776,18.200948980463153,15.621841154688212,,20.892317833619924
1989-05-01,17.444101390192888,,26.337009973095647,22.51842895247604,20.14620015303126,19.077358277330582,18.530366926555295,17.662761900834834,17.5450747018082,16.705190387586764,19.16527284417913,36.165335349023465,12.88044511023314,16.369779802456225,19.182407482834567,32.34931658007711,16.23973022176961,,15.275341412958847,15.663648110162676,,26.74079052379473,37.4241511819297,18.12917867691243,15.767239243357388,,20.787233145572745
1989-06-01,17.444101390192888,,26.26587692792861,22.14120836550812,20.14620015303126,18.955555510994873,18.6314416552456,17.662761900834834,17.330947169215577,16.59979486463669,19.16527284417913,35.607775869220724,12.9250141244554,16.369779802456225,19.182407482834567,32.166938473917405,16.285219662166718,,15.140161400454788,15.663648110162676,,26.74079052379473,37.50233534178054,18.12917867691243,15.912637332026565,,20.725865799179562
1989-07-01,17.68702322652846,,26.27127078105648,22.45054397339493,20.5073324341772,19.35237832024614,19.135882262310254,17.973558335587708,17.90070946426556,16.958333914636192,19.180411290343567,36.901257908105165,13.23572537629862,16.71650238641096,19.45377059392079,32.05520381991852,16.59364829536531,,15.311312298269325,16.033227593677964,,28.08811294123302,39.23439907203854,18.22201075193016,15.912637332026565,,21.144329653260975
1989-08-01,17.758357416563513,,25.925140731240194,22.531945510644363,20.589521160231104,19.36778626476863,18.9791734903714,17.922176666939045,17.72347471709461,16.905005820565005,19.219338723337835,36.92677745022696,13.178477429169302,16.77466230371949,19.522181462261855,31.98786095475062,16.41180009486816,,15.323690077006809,16.251986037964585,,28.477017161530767,39.098263058603294,18.13646140567697,15.944760165569754,,21.134357186504737
1989-09-01,17.829691606598562,,25.857006327215913,22.385844999408196,20.671709886285008,19.275704872067667,18.996458712129485,17.870794998290386,17.65623847006466,16.7470151119616,19.258266156332105,36.6983643938338,13.422308289092253,16.832822221028025,19.590592330602917,31.721295446794365,16.3557871252611,,15.213005317221047,16.47074448225121,,28.86592138182851,39.01703398022669,18.09398725718592,15.976882999112943,,21.12761256203602
1989-10-01,17.829691606598562,,25.45822649648621,22.5806348416073,20.671709886285008,19.39646482032887,18.69811612598093,17.870794998290386,17.683098283634642,16.913665542144184,19.258266156332105,37.556761241350266,13.252431180186269,16.832822221028025,19.590592330602917,31.482400270164593,16.357626141746238,,15.24235588126594,16.47074448225121,,28.86592138182851,39.09436146449416,18.38189084892061,15.976882999112943,,21.157520872756358
1989-11-01,17.72519524553425,,25.79123142122769,22.5806348416073,20.374612694273356,19.45784603811472,18.69811612598093,17.73792663399083,17.60362368460707,16.82593906111646,19.227477561357954,37.68555671885833,13.183527725176635,16.537284120964166,19.23747036853092,31.203034260941283,16.391009052239603,,15.389506541422973,16.142642002525093,,28.214810373215833,38.96147784292892,18.209155774381024,15.612737517651682,,21.035946163938505
1989-12-01,17.72519524553425,,26.098473092691687,22.515980196391535,20.374612694273356,19.38117997807487,18.664456150956667,17.73792663399083,17.590447319573684,16.65318814673128,19.227477561357954,37.60817364551366,13.183527725176635,16.537284120964166,19.23747036853092,31.096901491346248,16.379866286058608,,15.291092430846332,16.142642002525093,,28.214810373215833,38.62017109632645,18.025652654174085,15.612737517651682,,20.996330305995716
